ticker,award_date,award_abs,preaward_close,shares_known_at_award,market_cap_before,sec_cik,revenue_concept,ltm_revenue_before,ltm_revenue_method,ltm_revenue_source,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
BA,2026-01-29,564313749.56,241.58999633789062,783071257.0,189182182110.9374,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0029829117270097003,-2.525359598478308,11.276880230505022,0.007370965524105591
BA,2026-01-30,793378.3,234.0399932861328,783071257.0,183269991730.84357,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.3290136727085244e-06,-5.363611042513827,11.263091360256272,1.036296581721287e-05
BA,2026-02-02,7668637.43,233.72000122070312,783071257.0,183019415141.93753,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.190067717161439e-05,-4.3777789581907705,11.262497163182646,0.00010016637403832337
BA,2026-02-04,727768.6,233.14999389648438,785347096.0,183103670639.02173,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,3.97462594529169e-06,-5.400703736828805,11.262697050594943,9.505983620475712e-06
BA,2026-02-10,88389.61,244.7100067138672,785347096.0,192182293134.8761,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.5992587848854e-07,-6.337312153442749,11.283713371115741,1.1545293172585848e-06
BA,2026-02-11,5317197.0,242.58999633789062,785347096.0,190517349142.61304,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.7909253534804208e-05,-4.554251779063171,11.27993453011047,6.94522786347784e-05
BA,2026-02-12,15397912.66,236.25999450683594,785347096.0,185546100586.91956,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.29869914338987e-05,-4.080989979807632,11.26845183170351,0.00020112478820256274
BA,2026-02-13,16400000.0,239.35000610351562,785347096.0,187972832220.97827,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.724665051979631e-05,-4.05925123701855,11.274095085066248,0.00021421387426690525
BA,2026-02-17,619422.7,242.9600067138672,785347096.0,190807935716.8761,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,3.246315189527072e-06,-5.488609316171229,11.28059643308495,8.090788803406523e-06
BA,2026-02-19,184591.0,238.92999267578125,785347096.0,187642975895.22607,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,9.837351977569881e-07,-6.00712178940373,11.273332311956995,2.4110947112684337e-06
BA,2026-02-23,3382775.84,232.02999877929688,785347096.0,182224085726.20435,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.8563823912293867e-05,-4.731332559746749,11.260605779918265,4.4185214540419804e-05
BA,2026-02-24,1347395.81,230.44000244140625,785347096.0,180975386719.5913,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.445188179582097e-06,-5.1281243208370855,11.257619513329248,1.759944369701799e-05
