ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_transactions_30d,prior_award_days_30d,pre_volatility_market_20d,relative_strength_spy_60d,relative_strength_spy_120d,prior_response_mean_20d,prior_response_count_60d,event_trading_day,peak_pct,peak_day,day90_pct,actual_winner_ge20,MTS_signal_score,predicted_buy,market_cap_before,log10_market_cap_before,sector_group,prior_response_count_60d_adj,prior_abs_award_median_adj,scaleaware8_MD,scaleaware8_buy,old11_buy
HII,2026-02-23,HUNTINGTON INGALLS INC,1,-3140.0,3140.0,1115311364.0,27846703.574690267,3061148.0,83,18,3.6506053778013694,39.609083356166906,56.07052885526545,8.537123700655084,57,2026-02-23,3.9126529010129696,5,-32.952719803190575,0,1.358000716683566,0,17044318067.8125,10.23157963007001,AERO_DEFENSE,1.1612806060303937,5.261724705871667,13.831292132371711,1,0
HII,2026-02-27,HUNTINGTON INGALLS INCORPORATED,2,8043477.0,8043477.0,1115311364.0,27223944.396034483,2998548.0,90,19,3.712763720011652,44.274217561470586,58.59359351627047,8.334393307289671,60,2026-02-27,2.0719016676858493,1,-35.33561220269108,0,1.358141478834593,0,17255828347.833984,10.236935811976311,AERO_DEFENSE,1.183557000741546,5.252751383857486,13.844137860523247,1,0
HII,2026-03-13,HUNTINGTON INGALLS INCORPORATED,1,2169.0,2169.0,1115311364.0,25259705.44396825,2911442.5,83,20,2.127921862030452,29.110218189098106,52.15399122583861,8.191159948043584,68,2026-03-13,2.953978001836566,3,-30.641568249270744,0,1.2022010996579973,0,16198487723.882812,10.209474471096351,AERO_DEFENSE,1.2379146630641387,5.2399485959118355,13.790454219117233,1,0
HII,2026-03-19,HUNTINGTON INGALLS INCORPORATED,1,1357800.0,1357800.0,1115311364.0,27273196.880307693,2911442.5,87,21,1.8333926346235796,27.73611305312285,54.85843516469009,8.031580485599315,72,2026-03-19,0.0,0,-32.696566210012215,0,1.037393230803384,0,16723249695.029297,10.223320674268338,AERO_DEFENSE,1.2627382467891708,5.2399485959118355,13.801556110997657,1,0
HII,2026-03-25,HUNTINGTON INGALLS INCORPORATED,1,16378.0,16378.0,1115311364.0,26649972.82791045,2977631.0,81,21,1.8448223691287216,19.59684856288153,42.9931565446453,7.835876071002671,76,2026-03-25,2.183524905935652,9,-19.402005076913152,0,1.0324594139157115,0,15710843912.888672,10.196199513930303,AERO_DEFENSE,1.2862193426386936,5.249711255784639,13.747086924029958,1,0
HII,2026-03-26,HUNTINGTON INGALLS INC,1,19475.0,19475.0,1115311364.0,26478587.688444443,3019314.0,85,21,1.986171825089406,17.60596625210095,40.42998919722672,7.718740403446751,77,2026-03-26,6.902463293065408,8,-17.0788882077738,0,1.0097083874936903,0,15783505258.739899,10.198203459296423,AERO_DEFENSE,1.2918964755303841,5.255748659304373,13.735945355405569,1,0
HII,2026-04-01,HUNTINGTON INGALLS INC,1,9856693.0,9856693.0,1115311364.0,34472078.3089928,3383125.0,89,22,2.266446449453987,13.010319529489722,38.36196105752813,7.317895468053626,81,2026-04-01,4.584051053212113,4,-16.285472830154713,0,0.9524923582862912,0,14895055434.660614,10.173042123860053,AERO_DEFENSE,1.313890769236552,5.305158422986665,13.77561991314378,1,0
HII,2026-04-06,HUNTINGTON INGALLS INC,1,2000000.0,2000000.0,1115311364.0,35106923.61225352,3222136.5,92,20,2.2155371301108366,18.907815527745555,43.6623934559522,6.745094359013312,81,2026-04-06,0.9051665254842244,2,-19.74513931801024,0,0.9331837895571966,0,15550610586.32611,10.191747446035919,AERO_DEFENSE,1.313890769236552,5.283984313126687,13.78233136053869,1,0
HON,2025-08-20,HONEYWELL INTERNATIONAL INC.,1,-12547115.64,12547115.64,10953639.5,4517505.016666667,1539556.22,4,3,1.578880803392204,-12.270478706445632,-5.882529092278888,,0,2025-08-20,2.6866369307668725,2,-3.0576137457464125,0,1.7169528787071489,0,133807899772.8789,11.126481754138029,INDUSTRIAL,,5.020412643612733,12.79401071158194,1,0
HON,2025-08-25,HONEYWELL INTERNATIONAL INC.,1,2436000.0,2436000.0,169820296.57,33307567.65333333,11750377.57,9,6,1.0302269799037154,-10.729726180852216,-4.8795363796946045,,0,2025-08-25,0.8839095052956214,1,-5.229374680224219,0,1.2452840561088276,0,137567661211.35938,11.138516353898806,INDUSTRIAL,,5.903068912781249,13.665388683630617,1,0
HON,2025-08-26,HONEYWELL INTERNATIONAL INC.,1,143600.0,143600.0,169820296.57,28897343.70285714,10953639.5,10,7,0.9938151385842796,-11.087990757063649,-4.04059526520839,,0,2025-08-26,0.0,0,-3.56110807734219,0,1.2395502484907357,0,136197095086.27734,11.134167844717338,INDUSTRIAL,,5.872575534518285,13.644495132087362,1,0
HON,2025-08-27,HONEYWELL INTERNATIONAL INC.,1,7373317.17,7373317.17,169820296.57,25540950.74,6694819.75,12,8,1.0031479581037457,-10.802412234512094,-7.769648444079457,,0,2025-08-27,0.0452002998128087,1,-1.1327948353214046,0,1.1976702899588747,0,137400963929.07227,11.137989779503798,INDUSTRIAL,,5.6587559795920335,13.44016522838706,1,0
HON,2025-09-02,HONEYWELL INTERNATIONAL INC,1,10758027.0,10758027.0,169820296.57,25449435.85,10005868.48,23,12,0.8636148842819152,-11.783073524322862,-10.46268559280863,,0,2025-09-02,1.7224443625065031,90,1.7224443625065031,0,1.1083256784161526,0,135511831399.25586,11.131977214672366,INDUSTRIAL,,5.83327188103905,13.579259581760239,1,0
HON,2025-09-04,HONEYWELL INTERNATIONAL INC.,1,668349.81,668349.81,169820296.57,24319327.476923075,10758027.0,24,13,0.9307023901553536,-13.34135248184166,-13.246593898811533,,0,2025-09-04,4.314638143380267,90,4.314638143380267,0,1.100058366597143,0,132116310352.44336,11.12095643653051,INDUSTRIAL,,5.864749720864607,13.597156732994364,1,0
HON,2025-09-23,HONEYWELL INTERNATIONAL INC.,1,8164500.0,8164500.0,169820296.57,17326298.332916666,9081084.46,46,18,0.8273178805226067,-16.216058537260224,-19.829302155604257,-1.9265295839398997,0,2025-09-23,16.04189204689859,90,16.04189204689859,0,1.169119873339139,0,129029405566.51541,11.11068869650047,INDUSTRIAL,,5.79115480586171,13.506622382914454,1,0
HON,2025-10-20,HONEYWELL INTERNATIONAL INC.,1,1352307.75,1352307.75,311524826.12,23313547.66242424,7940220.0,30,10,1.2939441591034913,-13.302667240563228,-23.372299104038863,-3.72062601000676,0,2025-10-20,29.137073111732413,90,29.137073111732413,1,1.3514514455610322,0,125300502356.32776,11.097952812176462,INDUSTRIAL,,5.732849626553907,13.48529769734196,1,0
HON,2025-12-17,"HONEYWELL INTERNATIONAL, INC",1,170634.45,170634.45,511494518.81,24151694.97896552,2675788.15,21,14,0.9518092943072792,0.6969663383823654,-15.77553364698684,-2.14078228461929,16,2025-12-17,24.704322926641844,49,5.730196821888867,1,1.463719864819369,0,138662570005.3647,11.141959245255547,INDUSTRIAL,0.6731130190761463,5.260468817033441,13.124695497575386,1,0
HON,2026-01-23,HONEYWELL INTERNATIONAL INC,1,2398685.0,2398685.0,511494518.81,22575875.040704228,2286294.1,21,9,1.4175929581770068,9.027261385230734,-2.355227931353408,0.1392044954671226,33,2026-01-23,12.558227164409464,25,1.8700871037485856,0,1.3880374292764472,0,155643940182.78122,11.192132216593151,INDUSTRIAL,0.987506976298109,5.192149186554584,13.104686631754548,1,0
HON,2026-02-04,HONEYWELL INTERNATIONAL INC.,1,-161143.54,161143.54,511494518.81,23228781.645256408,2417342.5,25,13,1.7430672143199275,18.179669853203222,7.898454639472541,0.9896014564193488,36,2026-02-04,5.915214051303108,17,-2.3603035820090934,0,1.1428924946757522,0,161497905488.89893,11.208166894218131,INDUSTRIAL,1.0252955371875088,5.216355278515426,13.17483015575332,1,0
